Gender,Class,Hours,Work,Loans,CC Debt
Female,1,14,0,0,1511
Male,4,15,0,0,6780
Female,2,13,0,10089,0
Female,2,15,18,9785,2118
Female,2,6,38,7069,2044
Female,2,11,17,7453,2279
Female,1,15,0,3969,1326
Male,4,16,14,17245,7064
Male,1,15,0,3792,0
Female,3,13,0,0,4648
Female,2,15,0,0,2128
Female,3,14,0,12850,3508
Male,2,16,0,0,4649
Male,2,16,0,7452,4014
Male,1,10,17.5,5941,1625
Female,3,14,0,11624,2762
Female,4,13,0,0,8298
Male,1,17,11.5,2297,1748
Male,3,13,16,0,0
Female,1,12,24,3221,1002
Female,3,6,0,0,2137
Female,2,18,0,9355,3014
Female,4,18,0,15476,6455
Male,1,15,0,0,1400
Female,3,12,0,0,3716
Female,3,6,35,12705,2327
Male,4,14,23.5,16089,3435
Female,3,6,33,11672,5170
Male,4,15,0,0,6938
Female,1,14,0,0,0
Male,3,13,0,0,4716
Male,2,14,0,0,3256
Female,2,7,39,7617,1878
Female,1,15,0,0,1221
Male,4,14,16.5,15252,4921
Male,1,14,0,0,1240
Female,3,6,35,0,1426
Female,2,20,0,0,2385
Female,1,12,0,0,1526
Male,1,14,0,0,1391
Male,2,19,0,7064,3142
Female,2,18,0,0,2408
Male,2,6,36,7623,3608
Female,4,11,28.5,16941,5180
Female,1,20,0,0,1244
Male,1,18,0,0,1397
Female,3,16,0,11052,5553
Female,3,10,31,13370,3479
Male,1,15,0,0,1709
Male,3,15,15,13008,2395
Male,4,15,0,18953,5164
Male,2,14,0,0,3434
Male,2,15,16.5,7745,2640
Male,4,15,0,0,4010
Female,3,12,0,0,3115
Male,4,5,38,14827,12114
Male,4,14,15.5,16523,8859
Female,3,12,24.5,10500,3049
Female,2,14,0,0,2278
Female,1,14,0,0,1156
Male,1,15,0,0,1388
Female,2,12,0,0,2862
Male,3,18,0,0,4430
Male,3,16,0,9909,9940
Male,1,14,18.5,0,1501
Female,3,18,13,0,2279
Male,4,12,22.5,14260,3889
Female,3,20,16.5,12038,0
Male,3,12,0,0,6115
Female,3,16,0,0,0
Female,1,18,0,4066,1386
Female,4,15,18,14984,8628
Female,1,18,0,3777,1174
Male,1,17,15,4767,1439
Male,3,14,0,0,4583
Male,4,17,0,16953,10571
Male,4,14,0,15786,6428
Male,3,17,0,0,3222
Female,1,17,0,0,1145
Male,3,15,0,11550,8857
Female,2,15,0,9155,2731
Female,4,9,29,14669,5872
Female,1,15,0,0,1150
Male,1,18,13,4810,1685
Female,2,14,0,0,0
Male,2,15,12.5,7683,1923
Female,1,11,14.5,4331,1155
Female,1,18,7.5,2679,1037
Female,4,14,0,15489,2412
Female,1,13,0,0,1268
Male,3,20,0,0,2643
Female,1,14,0,4870,1233
Female,4,16,0,16783,5460
Female,1,14,0,0,1171
Female,2,20,0,0,1962
Female,1,16,0,6011,1094
Male,2,15,16,9716,3319
Male,1,15,0,5812,1367
Female,1,16,0,0,1247
Female,4,14,0,0,12127
Male,1,16,0,0,0
Male,4,13,0,0,9208
Female,3,15,0,11408,2849
Male,1,15,0,0,1198
Male,2,12,0,0,2538
Female,2,13,0,8418,2726
Female,4,4,38,13688,3258
Female,2,12,17.5,7814,1553
Male,4,20,0,0,3444
Male,3,15,0,0,5464
Male,4,15,21,0,3895
Female,2,16,0,0,1526
Female,4,6,34,14972,2999
Male,1,14,0,0,1369
Male,1,18,10.5,4389,1248
Female,2,15,0,7971,2140
Female,3,12,0,12580,4328
Male,2,21,0,8884,1519
Male,3,18,16,9704,5282
Male,3,16,15.5,12706,5707
Female,1,15,0,0,1096
Female,4,16,0,16288,3978
Female,3,16,0,12031,3841
Female,3,13,0,14292,2679
Male,4,21,0,14577,2892
Female,3,18,0,0,5334
Male,4,12,0,0,5259
Male,1,15,13,0,1486
Male,3,11,20,10846,3239
Male,1,10,21,3134,1326
Female,2,17,0,0,1984
Male,1,17,0,4117,1499
Female,4,16,13.5,16279,4810
Female,1,16,0,3402,1523
Male,2,12,0,0,3827
Male,4,4,35.5,0,2933
Female,2,17,0,0,2031
Female,4,9,24.5,17519,4819
Male,2,16,0,0,3321
Male,1,15,0,0,1306
Female,4,11,21,16386,4187
Male,1,17,9.5,3302,1849
Male,3,19,0,0,5917
Male,4,9,23,15545,13947
Female,2,18,13,6723,4223
Female,2,16,0,0,1837
Female,4,15,13.5,14959,8720
Male,2,10,25,7429,5264
Female,4,9,28.5,0,0
Female,1,12,0,0,1264
Male,2,15,0,8804,1839
Female,4,12,0,16515,3751
Female,3,13,0,0,4182
Male,4,17,16.5,15581,3857
Male,2,9,28,0,3308
Female,4,14,0,0,6854
Female,4,12,22,17363,4406
Male,1,15,0,0,1299
Male,1,11,27,5364,1224
Female,3,15,0,10264,3515
Female,3,15,0,13528,3657
Male,1,15,0,3591,1624
Female,1,16,0,0,1025
Female,3,17,13,11540,0
Female,1,17,19.5,3607,1236
Female,1,18,9.5,4097,1128
Male,4,18,0,0,3021
Female,1,14,0,0,1282
Male,4,15,0,0,7721
Female,2,13,0,5540,1937
Female,4,14,0,15482,4143
Male,2,15,19,9790,2731
Female,4,17,0,0,3773
Female,4,17,0,0,4667
Female,1,16,14.5,3538,1065
Female,3,12,0,11133,3226
Male,4,5,37.5,15839,3931
Female,4,12,0,0,5692
Male,1,15,0,0,1334
Male,3,6,28,12694,4188
Female,4,21,0,0,6885
Male,3,10,22.5,13228,3429
Female,1,16,0,0,0
Male,1,15,0,0,1539
Male,3,14,0,0,5556
Female,1,15,0,0,1074
Male,4,15,0,0,11423
Female,1,12,17,4944,1201
Female,3,13,18.5,10848,0
Female,2,15,0,6157,2834
Male,1,19,9.5,4927,1250
Male,1,11,24.5,0,1587
Female,3,12,0,13200,1363
Female,4,21,7.5,0,5913
Male,1,16,0,2987,1610
Female,1,16,0,0,1319
Female,3,15,0,0,3846
Female,2,12,0,0,2313
Female,4,17,0,0,8840
Female,1,15,0,0,1198
Female,1,14,0,4320,1287
Female,1,18,0,0,1020
Female,4,17,0,0,2979
Female,2,16,16.5,7192,0
Male,2,19,0,0,3932
Female,3,14,0,0,3822
Male,1,14,0,0,1775
Male,4,6,0,0,1544
Male,2,15,17.5,7492,3251
Female,4,15,0,0,4707
Male,1,15,0,0,1820
Female,4,6,0,0,3650
Female,2,7,28,7581,2616
Female,2,15,0,6184,0
Female,1,12,0,5115,1327
Female,2,18,11,8392,2104
Female,2,15,10.5,0,2242
Female,1,19,0,0,1353
Female,1,15,18.5,2735,1055
Female,1,17,0,0,1309
Female,1,17,0,4237,1134
Male,3,8,0,0,3379
Male,1,18,0,0,1475
Female,4,3,46.5,15110,1810
Female,3,13,0,0,6633
Male,2,6,29,8908,2355
Male,4,9,29.5,15377,3743
Female,3,17,17.5,11660,2134
Female,4,16,0,15738,3151
Female,1,14,0,3440,1229
Female,4,17,0,0,3825
Female,2,15,0,0,2190
Female,4,17,0,17476,4173
Male,1,15,14,2525,1382
Male,3,18,0,12272,3838
Male,2,21,8.5,8570,3390
Female,4,16,13.5,16999,4656
Female,3,11,16,12088,2597
Female,1,12,0,1471,1244
Female,3,15,16,0,0
Female,4,14,0,0,5363
Female,1,12,23,3749,1208
Female,3,16,0,0,4133
Female,3,15,20.5,0,4297
Male,3,11,22.5,0,2802
Female,2,11,16,0,0
Male,3,15,11,12890,0
Male,1,17,0,0,1525
Female,2,18,0,0,2346
Female,1,16,12.5,3909,1107
Male,2,6,29,7257,3143
Male,3,17,0,0,4158
Female,4,15,18,15451,6965
Female,3,9,33.5,13426,2769
Female,1,14,15.5,4114,1307
Female,1,11,23,4560,1152
Female,3,17,0,12765,4479
Female,4,16,0,0,4476
Female,1,17,0,0,1376
Male,2,14,0,7786,3468
Male,3,15,20,12452,2343
Female,3,14,0,0,3181
Male,1,9,0,0,1344
Male,3,7,31,11531,5880
Male,4,14,0,13881,10426
Female,1,13,0,3335,1120
Female,1,13,0,0,1289
Female,1,18,0,0,1241
Male,2,18,0,8272,2603
Female,3,12,0,0,2514
Male,2,9,29.5,8425,3084
Male,3,21,0,0,5666
Male,3,9,20.5,11389,2378
Female,1,14,13,5378,1295
Male,4,3,43,16017,4412
Female,1,9,19.5,3912,1056
Female,1,15,0,0,1439
Female,2,18,0,9242,3224
Male,2,16,0,0,3986
Female,2,15,0,8312,2713
Female,1,17,9,3501,1094
Female,1,16,16,0,1310
Male,4,15,0,0,17091
Female,1,16,0,0,1181
Female,1,14,0,5647,1266
Male,2,19,0,0,3522
Female,1,13,0,0,939
Female,1,17,0,0,1236
Male,3,15,0,0,5728
Male,3,20,11,13314,3951
Male,4,14,14.5,16001,5037
Male,3,14,12,0,4700
Female,2,15,0,0,0
Male,4,21,10,15666,5984
Female,3,16,0,12119,2187
Female,2,18,12,8151,1919
Female,1,17,0,0,0
Male,2,12,0,0,2019
Female,3,14,0,0,2755
Female,1,20,8.5,0,1119
Male,3,14,0,12791,3580
Male,1,16,11,4268,1392
Male,2,18,0,7773,2866
Male,3,10,27.5,11626,3026
Female,3,17,16,12358,4274
Female,4,8,22.5,15619,7180
Female,2,16,0,0,2065
Female,4,14,12,17297,4874
Female,2,15,12,8451,2194
Female,3,12,0,0,3515
Male,2,14,0,9165,2946
Male,3,21,0,11450,4175
Male,1,16,14.5,5350,1578
Female,3,15,0,0,0
Male,1,9,26.5,3603,1501
Male,2,10,26,6593,4306
Male,1,10,0,0,1305
Female,1,15,0,3244,963
Female,3,16,0,11176,5124
Female,1,15,0,0,1289
Female,3,17,0,13234,2742
Male,2,9,28,9321,4150
Male,1,15,0,4869,1446
Female,1,18,0,0,1303
Female,4,12,0,0,4148
Male,2,17,0,0,1752
Male,3,11,0,0,2418
Female,2,15,0,6626,2681
Female,4,5,34,0,4372
Male,4,15,0,17782,3476
Male,2,15,17,6732,0
Male,2,12,20.5,7884,4140
Female,4,3,42.5,16825,6948
Female,3,19,0,11024,6153
Female,4,15,0,0,3674
Male,3,18,10.5,0,6702
Female,1,15,0,2237,1067
Male,2,16,0,0,4141
Female,1,17,15,4531,1381
Female,3,8,21.5,12256,3384
Male,2,21,0,0,2989
Female,4,17,0,0,4795
Male,1,11,27,2935,1162
Female,4,14,0,15624,0
Female,3,17,0,0,3256
Female,1,13,0,0,0
Male,3,16,14.5,12420,3232
Male,4,16,0,0,5476
Female,2,15,21.5,8201,2172
Male,3,14,13,11121,2666
Male,1,16,20,2542,1584
Female,1,16,15.5,3686,1089
Female,1,17,9.5,4184,1172
Female,2,14,0,7149,1677
Female,1,17,0,4407,1037
Male,4,7,31,0,4094
Male,3,17,0,10852,5302
Male,3,11,0,0,4229
Female,1,16,0,4193,1357
Female,4,6,33,15685,5754
Female,4,15,16.5,15755,4672
Female,3,9,28.5,11558,2521
Female,4,7,31,15475,2651
Female,1,12,20,2991,1248
Female,3,8,33.5,15225,4469
Female,2,15,15.5,10044,2416
Male,3,17,0,0,5305
Male,1,16,18,2741,1614
Female,3,13,0,0,3866
Male,1,15,0,0,1281
Female,1,18,11,3010,1246
Female,2,17,11,7737,0
Male,2,14,10.5,7090,2469
Female,1,16,0,3556,1226
Female,3,6,32,0,4508
Female,2,14,0,0,2113
Female,1,12,0,0,0
Female,2,15,0,0,2610
Male,4,14,15.5,0,10881
Male,4,4,46,18610,3867
Female,2,17,17.5,0,2803
Male,4,5,29.5,15461,9777
Male,2,14,0,0,0
Female,1,15,0,0,1190
Male,3,18,0,12286,8000
Male,2,6,34.5,7890,0
Female,1,15,0,0,1025
Male,2,17,12.5,6314,3813
Male,1,13,0,0,1504
Female,1,15,0,0,1285
Female,4,14,0,16725,9710
Female,4,14,0,17271,4463
Male,4,14,0,0,6393
Male,1,16,19,6151,1308
Female,4,3,0,0,2873
Female,4,19,0,0,5240
Male,4,5,35.5,15232,8363
Male,3,15,16.5,0,8324
Female,3,12,0,0,3089
Male,1,12,0,0,0
Male,1,15,0,3845,1636
Male,1,18,0,0,1782
Male,1,20,0,0,1577
Female,2,16,11.5,7236,2043
Female,4,20,8.5,0,6822
Female,4,13,0,0,5049
Female,2,18,18,7719,2445
Male,1,12,0,0,1544
Female,1,15,14,5133,1259
Female,3,14,18,15121,3916
Male,1,12,0,3654,1311
Female,3,15,0,0,3065
Female,1,15,0,4807,1342
Female,3,12,0,12624,0
Male,4,15,0,15942,3070
Female,2,15,0,8192,2560
Male,1,19,9,4388,1738
Male,4,18,0,16089,6802
Male,4,14,20.5,15616,3151
Female,4,14,0,16538,0
Male,1,13,0,0,1534
Male,4,12,0,0,8647
Female,3,15,0,0,0
Female,2,13,0,0,2679
Female,2,15,0,0,0
Male,1,15,17.5,0,1402
Female,4,3,35.5,16116,7416
Female,2,15,0,6943,2020
Female,4,14,17.5,16719,6006
Male,1,9,30,3568,1486
Male,1,17,0,0,1945
Male,1,15,0,0,1424
Male,1,15,0,0,1360
Female,2,16,12.5,7790,2140
Male,1,15,0,0,1514
Female,2,21,0,0,2395
Female,1,18,0,0,1101
Female,1,12,0,4425,1128
Male,3,15,14.5,11806,0
Female,2,11,25.5,8352,2957
Female,1,14,0,0,1352
Female,1,14,0,0,1150
Male,3,16,0,12200,4583
Male,1,21,0,0,1502
Male,2,12,0,7964,2895
Male,4,11,27,0,5610
Female,1,14,17.5,4980,1001
Female,3,13,21,11878,5943
Female,1,12,0,3623,1082
Female,1,13,0,3738,1058
Male,2,12,19,8009,3033
Female,2,18,0,10414,2294
Female,4,3,40.5,15305,7301
Female,1,15,14.5,0,1087
Female,4,17,0,0,4768
Female,3,21,0,0,2844
Female,3,18,0,0,2767
Female,1,15,0,4141,1085
Female,4,17,0,14875,6103
Male,4,8,29,17606,8805
Female,2,15,0,0,2299
Male,4,14,0,0,7455
Male,2,12,0,6706,3483
Male,1,15,0,4749,1543
Female,1,17,0,0,1281
Male,1,13,0,0,1626
Male,2,15,0,6006,1707
Female,1,13,21,3690,1190
Female,1,16,18.5,4244,0
Male,1,15,19,2013,1335
Female,3,7,34.5,12962,2712
Female,1,9,30,0,1246
Male,2,15,0,7402,2975
Male,1,18,0,0,0
Female,1,15,0,3308,1364
Male,2,11,23.5,0,3065
Male,4,16,15,16612,8634
Female,4,15,0,0,5606
Female,1,16,10.5,0,1137
Male,4,18,0,0,6030
Female,1,15,0,0,1302
Female,3,19,0,0,0
Female,4,3,41,16168,6025
Male,2,18,0,8594,2881
Male,1,12,0,0,1454
Male,3,12,19,12586,4247
Male,2,16,0,0,0
Female,4,12,22,17745,0
Male,1,12,0,951,1369
Female,3,10,0,0,6191
Male,4,14,14,0,6432
Male,3,14,0,11603,3169
Male,4,18,0,0,0
Female,1,18,12.5,2298,0
Male,2,9,24,6396,2966
Female,3,9,28,12131,4722
Female,4,12,0,16439,4532
Female,1,12,0,0,1204
Male,2,13,0,0,3153
Female,2,10,21.5,8485,2795
Female,4,9,26,0,4106
Male,3,19,9.5,10137,5040
Male,4,4,36.5,14407,2233
Female,1,15,0,0,1340
Female,2,17,0,0,2521
Female,2,14,18.5,6938,2442
Female,3,14,0,12644,2519
Female,4,20,0,0,10472
Male,2,16,0,0,3759
Female,2,16,16,8050,0
Male,2,15,0,0,3232
Female,1,12,18.5,3881,1181
Male,3,14,0,0,3860
Male,4,15,0,16941,9059
Male,4,3,41.5,17433,4663
Female,1,14,0,0,1228
Female,3,18,6.5,0,3666
Female,2,14,0,0,3663
Male,2,21,0,7223,3432
Male,4,16,12,16706,6523
Female,2,17,18.5,6698,2635
Female,1,12,0,0,1206
Female,1,16,0,0,1175
Male,1,15,0,0,1765
Male,1,10,24.5,4782,1446
Female,3,18,12.5,11200,3106
Female,2,14,0,0,2157
Male,1,17,14,4396,1480
Female,2,14,0,0,2719
Female,1,11,22,5840,1304
Male,3,14,0,12192,7355
Male,3,18,0,0,3237
Female,3,9,30.5,0,4536
Male,1,15,13.5,5277,1410
Female,2,15,17.5,0,0
Male,3,9,28,11168,4392
Female,3,12,25.5,14500,5400
Male,2,16,12.5,7195,2785
Male,2,15,0,0,3204
Female,4,13,0,0,4316
Male,1,15,0,0,1514
Female,4,20,8,15955,7573
Male,2,11,0,0,2978
Female,3,17,13.5,12281,2413
Female,2,20,0,0,0
Female,4,3,0,0,5196
Female,4,18,16,16507,8641
Male,4,13,0,0,0
Female,1,14,0,4114,1277
Female,1,12,0,0,1456
Male,1,15,0,2997,1129
Male,3,17,9.5,11006,6042
Female,3,17,11.5,12120,0
Female,2,17,13,0,2169
Male,1,14,18,0,1864
Male,2,16,0,8341,2521
Female,2,18,10.5,8227,2362
Female,1,17,0,0,1163
Female,3,17,16,12247,0
Male,4,18,0,0,6419
Female,1,16,0,0,0
Male,2,17,0,0,4589
Female,2,12,0,0,0
Male,1,21,0,0,0
Male,3,13,19.5,12207,4987
Female,2,15,0,8656,2706
Male,1,14,21.5,3971,0
Female,2,15,0,0,2616
Male,1,12,0,0,1589
Male,1,12,0,0,1794
Male,4,12,0,0,0
Female,4,12,0,0,2868
Male,2,15,0,0,3114
Female,2,14,0,0,2707
Female,4,9,21.5,14986,3991
Male,3,15,0,0,2878
Female,4,18,8.5,18025,4763
Female,1,15,17.5,6213,1109
Male,2,19,0,8872,0
Male,3,6,27,0,4172
Female,1,15,14.5,4119,0
Female,2,15,0,0,1457
Female,2,16,0,0,2393
Male,1,15,0,0,1463
Female,2,13,0,7714,2444
Male,3,15,0,0,3063
Female,4,16,0,0,8130
Female,1,17,0,3820,1438
Female,1,11,18,4297,1110
Female,3,16,0,0,4937
Female,1,9,24,0,1144
Male,3,17,0,11496,0
Male,1,15,15,0,1569
Male,2,18,0,0,2115
Male,3,15,0,0,4202
Female,4,3,39.5,17073,4912
Female,4,16,16.5,15070,3649
Female,1,16,16,4078,981
Male,2,11,26.5,0,2654
Female,2,17,0,0,2598
Female,1,12,16,3663,1134
Female,1,14,23,2783,1052
Female,1,13,0,0,1219
Male,1,12,20.5,3563,1745
Female,2,16,0,0,1495
Male,2,15,0,0,3204
Female,2,15,0,0,2794
Male,1,12,18.5,6008,1609
Female,4,11,23,16931,2915
Female,4,12,0,0,6944
Female,3,15,0,0,2651
Male,4,15,12.5,16635,8061
Male,4,12,0,0,6394
Female,4,14,14.5,17659,1910
Male,3,16,13.5,0,0
Male,3,9,23,11482,2756
Male,3,10,0,0,1771
Female,4,5,35,14965,6073
Female,1,14,15,3616,1281
Female,4,12,0,0,5110
Female,3,9,31.5,0,4904
Male,1,16,13.5,4922,0
Male,3,14,0,10108,4308
Female,3,10,28,12628,2773
Male,4,16,15,15615,8736
Male,4,16,0,0,9721
Female,2,16,0,0,3419
Female,1,15,16.5,5004,1269
Female,4,13,0,0,5979
Female,4,13,12.5,15073,8322
Male,2,17,0,7308,4479
Male,3,15,0,10192,0
Male,3,16,0,11227,4698
Female,3,11,18,10148,3572
Male,4,14,15,0,8930
Female,3,18,13,12389,0
Female,1,12,0,4524,1134
Female,2,14,0,0,2878
Female,1,12,0,3645,1236
Female,3,16,0,12171,5169
Female,1,15,0,3003,946
Male,3,14,0,13607,2385
Male,1,15,0,0,1517
Female,2,21,0,0,2686
Male,4,11,18,15510,12763
Male,2,16,0,0,3303
Male,1,17,13,0,1459
Male,3,11,23.5,11957,3128
Female,1,16,0,0,1279
Female,2,8,30.5,7358,2054
Female,2,16,0,0,2485
Female,3,14,0,0,0
Male,4,18,10,0,7597
Female,2,13,25.5,8766,0
Male,4,12,0,14264,6113
Male,3,12,0,0,4636
Female,4,12,0,0,0
Female,1,16,12,2949,1267
Male,1,17,0,0,1808
Male,3,6,37,13052,4197
Female,1,17,6.5,4916,1185
Female,1,14,16.5,4599,1208
Female,1,13,0,4506,1213
Male,3,6,36.5,12396,2083
Male,2,16,0,0,4262
Female,1,16,0,4029,987
Male,2,17,12.5,10957,3562
Male,3,15,0,12406,12646
Female,2,14,0,8502,1968
Female,1,14,0,0,1252
Male,4,14,12,15617,5318
Female,3,15,0,0,4503
Male,3,12,0,0,2970
Female,1,9,26.5,3077,1105
Female,2,12,0,0,2369
Male,1,15,0,0,1589
Male,1,16,0,0,1449
Female,1,12,0,0,1027
Female,2,6,30.5,8628,1905
Male,4,14,0,0,6501
Female,4,17,0,15038,3663
Male,2,11,21,8855,0
Female,1,14,0,0,0
Female,2,16,0,0,2001
Female,3,15,0,0,7051
Female,4,3,38,14413,3907
Female,4,17,16.5,16628,3152
Female,1,16,18,4539,0
Female,1,19,0,2376,1182
Male,1,16,18.5,3613,1644
Female,2,9,22,0,3060
Male,3,15,0,0,0
Female,1,13,0,0,1272
Female,2,18,0,0,2767
Female,2,15,0,0,1673
Female,4,12,15.5,14897,2747
Female,1,12,0,3437,1252
Male,4,15,0,17188,3743
Male,3,15,0,0,6302
Male,1,15,0,0,1241
Male,2,19,0,0,3415
Female,4,16,0,0,6110
Male,1,16,0,5462,1532
Female,1,12,0,0,1312
Female,3,18,0,0,1927
Female,1,16,0,0,0
Female,3,13,0,11309,4599
Male,3,12,0,0,8518
Female,3,14,17,12247,0
Female,1,21,14.5,4030,1197
Male,2,6,27.5,7837,3105
Female,1,15,0,2393,1218
Male,1,10,29,3759,1535
Male,1,18,0,2877,1408
Male,2,14,19.5,9115,0
Male,1,12,0,0,1320
Male,1,17,0,0,1525
Male,3,16,0,12676,2106
Female,2,16,18,8383,2603
Male,1,18,0,0,1430
Male,3,19,9,11479,3917
Male,3,9,25.5,11674,3732
Female,2,14,12,7433,2786
Female,4,20,0,16427,0
Male,4,12,0,15134,6323
Female,1,12,0,4509,1169
Female,2,17,11,6969,1916
Female,2,14,0,0,2534
Male,4,18,7,16815,11119
Female,1,17,0,4609,1162
Male,3,17,10.5,0,8058
Female,4,11,24.5,15228,6652
Male,2,18,0,0,3620
Female,3,18,14,10838,6359
Female,4,15,17.5,15205,5711
Male,4,15,15.5,0,0
Female,4,15,0,16664,0
Female,2,9,17,7801,2269
Male,1,21,8.5,2637,1643
Female,2,12,0,0,2260
Male,2,14,0,0,3428
Female,3,17,9.5,12074,2029
Female,4,16,0,0,8566
Female,2,6,30,10508,0
Male,4,14,21,0,5511
Female,2,16,0,0,1759
Female,2,9,25.5,7764,2371
Male,1,9,26.5,3591,1479
Male,3,14,0,0,2642
Male,1,17,13.5,3361,1292
Male,1,20,0,0,1378
Male,4,7,0,0,4686
Female,1,9,32.5,4399,1190
Female,2,16,0,0,2649
Female,1,11,25,4158,1421
Female,4,7,28.5,17233,2957
Female,1,16,11.5,3188,0
Male,2,17,0,7704,3423
Male,3,19,0,0,4718
Female,3,16,0,0,3357
Female,3,6,29.5,0,3208
Male,3,14,0,12228,3047
Female,3,8,23,9908,2746
Male,4,15,0,0,12904
Female,4,3,37.5,14705,3608
Female,4,3,43,16170,5268
Female,1,16,0,0,0
Female,1,16,0,0,1024
Female,4,12,18,15194,0
Male,1,15,0,0,1658
Female,4,17,17.5,15758,5145
Male,1,18,0,4924,1565
Female,3,15,0,0,3809
Male,1,20,0,0,1866
Female,2,15,15,8660,2031
Female,3,17,0,10627,3018
Male,1,15,0,4681,1503
Female,1,14,0,0,1222
Female,3,15,0,0,4892
Female,3,15,16,12234,4779
Female,4,13,0,0,4108
Female,1,16,0,0,1194
Male,4,9,25.5,14949,3355
Female,4,6,0,0,2920
Male,4,12,0,0,8976
Female,1,15,0,2829,1278
Female,1,15,0,0,1140
Female,1,13,23,0,0
Female,1,17,12.5,0,1148
Female,2,16,15.5,0,3026
Female,1,15,0,0,1050
Male,4,9,31,15976,6618
Female,2,12,0,7819,2627
Female,3,16,0,12421,3250
Female,2,14,21,0,2384
Male,2,12,0,0,3274
Female,4,15,0,0,14413
Female,4,3,38,0,6329
Female,3,12,0,0,5419
Male,1,17,0,0,1667
Female,2,15,0,0,3174
Female,4,6,29.5,15358,3013
Male,1,15,0,0,1506
Female,3,6,28.5,10386,4117
Female,1,15,0,0,1399
Female,2,15,0,0,3298
Female,3,15,14,0,4422
Female,3,17,0,0,4400
Male,4,13,0,0,3049
Male,2,7,27,7298,2908
Female,2,19,0,7555,2941
Female,1,15,0,0,1178
Male,4,14,0,0,7020
Male,2,11,19,8379,3130
Female,1,15,0,0,1219
Female,3,13,0,0,3573
Female,2,18,0,0,3176
Male,4,16,0,15984,10689
Male,4,13,0,0,7574
Male,1,15,13.5,0,0
Female,3,18,8,13968,3208
Female,2,10,26,0,2129
Male,3,19,9.5,12241,9164
Male,2,12,0,0,1695
Female,3,12,0,0,5146
Female,4,16,0,0,7159
Female,3,9,20,0,3689
Male,1,9,35,3565,1576
Male,3,19,0,0,8399
Male,2,9,26,9963,4684
Male,2,15,0,0,2687
Female,1,18,0,0,1274
Female,3,16,0,0,4357
Female,2,12,0,0,4300
Male,1,17,0,1800,1589
Female,4,10,25,17926,2926
Male,1,17,18,4199,2001
Male,1,16,16.5,3493,1830
Female,2,17,0,0,2753
Female,4,12,0,0,3839
Female,4,12,26.5,17448,4530
Female,2,15,0,0,2397
Female,3,12,16,13452,3292
Male,2,12,16,6976,3445
Female,1,16,0,0,1149
Female,3,6,33,12385,2383
Male,3,16,0,0,3450
Female,2,12,0,0,1987
Female,2,12,20.5,8903,2011
Female,4,15,0,0,5630
Female,1,18,14,4328,1274
Male,2,15,0,7626,2299
Female,4,3,44,14236,3783
Female,1,17,0,5748,1408
Female,1,15,0,0,1068
Male,4,12,0,0,0
Female,3,12,25.5,12166,4682
Male,3,19,0,0,8342
Female,1,12,0,0,1098
Female,1,15,0,4377,1301
Male,3,17,0,0,3189
Male,4,12,20.5,16084,3656
Female,2,15,0,0,1972
Female,3,12,18.5,11736,4287
Female,2,15,0,0,2510
Female,3,7,33.5,11222,4106
Female,1,15,0,0,1155
Female,3,14,0,0,3000
Male,1,17,8,0,1885
Male,2,13,0,7146,0
Male,4,6,34.5,16901,4915
Male,4,3,0,0,2706
Male,1,10,20.5,0,1536
Male,2,15,0,7345,2476
Female,1,9,19.5,3837,0
